home_team_name,away_team_name,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,stadium_name,Defence_line,Home_ground_effect,Tempo_home,Tempo,Transition_Defence_Attack,matches_played,matches_played_away,matches_played_home,wins,wins_away,wins_home,draws_away,draws_home,losses,losses_away,losses_home,points_per_game_away,points_per_game,points_per_game_home,league_position,league_position_away,league_position_home,performance_rank,Attack_goals,Defence_goals_conceded,goal_difference,total_goal_count_away,Attack_goals_away,total_goal_count_home,Attack_goals_home,Defence_goals_conceded_away,Defence_goals_conceded_home,clean_sheets,clean_sheets_away,clean_sheets_home,btts_count,btts_count_away,btts_count_home,corners_total,corners_total_home,corners_total_home,average_possession,average_possession_away,average_possession_home,shots,shots_away,shots_home,shots_on_target,shots_on_target_away,shots_on_target_home,fouls,fouls_home,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,Status_home_away
Liverpool,West Ham United,0,0,2.79,1.11,4,0,4,2,2,0,5,4,1,0,2,0,1,0,0,2,16,5,9,3,7,2,14,9,64,36,0,0,2.12,0.75,0,0,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Brighton & Hove Albion,3,0,2.79,0.68,1,0,1,1,1,0,8,5,1,0,1,0,0,1,0,1,16,5,9,3,7,2,8,14,70,30,2.12,0.65,2.26,0.76,3,0,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Southampton,3,1.5,2.79,0.84,3,0,3,3,3,0,5,5,0,0,2,0,0,0,1,1,10,3,5,2,5,1,7,10,60,40,2.19,1.5,1.41,0.61,2.5,25,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Manchester City,3,2.33,2.79,2.32,0,0,0,0,0,0,2,6,1,0,3,0,0,1,1,2,7,6,3,3,4,3,10,10,49,51,1.93,1.96,0.99,0.91,2.84,17,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Draw_home
Liverpool,Cardiff City,2.5,0.25,2.79,0.74,4,1,5,1,1,0,8,0,0,0,0,0,0,0,0,0,14,3,8,2,6,1,6,4,79,21,1.69,1.16,2.06,0.53,2,13,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Fulham,2.6,0.17,2.79,0.26,2,0,2,1,1,0,6,3,1,0,1,0,0,1,0,1,15,8,8,4,7,4,11,9,73,27,1.77,0.96,1.95,1.01,3.05,35,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Everton,2.67,1,2.79,1.05,1,0,1,0,0,0,8,1,3,0,2,0,1,2,0,2,14,8,4,4,10,4,12,7,57,43,1.8,1.36,1.7,1.07,2.59,42,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Manchester United,2.71,1.38,2.79,1.58,3,1,4,2,1,1,13,2,0,0,2,0,0,0,2,0,23,6,12,3,11,3,6,14,64,36,1.78,1.34,2.99,0.8,2.96,51,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Newcastle United,2.75,1.25,2.79,1.05,4,0,4,1,1,0,10,2,0,0,0,0,0,0,0,0,13,7,9,3,4,4,7,10,75,25,1.93,1.1,1.97,0.87,2.13,38,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Crystal Palace,2.8,1.18,2.79,1.53,4,3,7,1,0,1,8,3,1,1,1,0,0,2,1,0,17,7,10,4,7,3,6,8,70,30,1.94,1.21,2.49,0.9,2.91,43,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Win_home
Liverpool,Leicester City,2.82,1.42,2.79,1.32,1,1,2,2,1,1,7,1,1,0,3,0,1,0,1,2,9,5,4,3,5,2,13,6,72,28,1.99,1.35,1.51,0.79,3.06,47,Anfield,High_Block,Positive,High,High,Fast,38,0,19,30,0,17,5,2,1,1,0,2.32,2.55,2.79,2,2,2,2,89,22,67,46,34,65,55,12,10,21,9,12,17,10,7,249,116,133,62,61,64,472,205,267,264,119,145,315,149,1.9,2.12,1.67,Draw_home
