team_name,name,season,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,wins_away,draws,draws_home,draws_away,losses,losses_home,losses_away,points_per_game,points_per_game_home,points_per_game_away,league_position,league_position_home,league_position_away,performance_rank,goals_scored,goals_conceded,goal_difference,total_goal_count,total_goal_count_home,total_goal_count_away,goals_scored_home,goals_scored_away,goals_conceded_home,goals_conceded_away,goal_difference_home,goal_difference_away,minutes_per_goal_scored,minutes_per_goal_scored_home,minutes_per_goal_scored_away,minutes_per_goal_conceded,minutes_per_goal_conceded_home,minutes_per_goal_conceded_away,clean_sheets,clean_sheets_home,clean_sheets_away,btts_count,btts_count_home,btts_count_away,fts_count,fts_count_home,fts_count_away,first_team_to_score_count,first_team_to_score_count_home,first_team_to_score_count_away,corners_total,corners_total_home,corners_total_away,cards_total,cards_total_home,cards_total_away,average_possession,average_possession_home,average_possession_away,shots,shots_home,shots_away,shots_on_target,shots_on_target_home,shots_on_target_away,shots_off_target,shots_off_target_home,shots_off_target_away,fouls,fouls_home,fouls_away,goals_scored_half_time,goals_scored_half_time_home,goals_scored_half_time_away,goals_conceded_half_time,goals_conceded_half_time_home,goals_conceded_half_time_away,goal_difference_half_time,goal_difference_half_time_home,goal_difference_half_time_away,leading_at_half_time,leading_at_half_time_home,leading_at_half_time_away,draw_at_half_time,draw_at_half_time_home,draw_at_half_time_away,losing_at_half_time,losing_at_half_time_home,losing_at_half_time_away,points_per_game_half_time,points_per_game_half_time_home,points_per_game_half_time_away,average_total_goals_per_match,average_total_goals_per_match_home,average_total_goals_per_match_away,goals_scored_per_match,goals_scored_per_match_home,goals_scored_per_match_away,goals_conceded_per_match,goals_conceded_per_match_home,goals_conceded_per_match_away,total_goals_per_match_half_time,total_goals_per_match_half_time_home,total_goals_per_match_half_time_away,goals_scored_per_match_half_time,goals_scored_per_match_half_time_home,goals_scored_per_match_half_time_away,goals_conceded_per_match_half_time,goals_conceded_per_match_half_time_home,goals_conceded_per_match_half_time_away,over05_count,over15_count,over25_count,over35_count,over45_count,over55_count,over05_count_home,over15_count_home,over25_count_home,over35_count_home,over45_count_home,over55_count_home,over05_count_away,over15_count_away,over25_count_away,over35_count_away,over45_count_away,over55_count_away,under05_count,under15_count,under25_count,under35_count,under45_count,under55_count,under05_count_home,under15_count_home,under25_count_home,under35_count_home,under45_count_home,under55_count_home,under05_count_away,under15_count_away,under25_count_away,under35_count_away,under45_count_away,under55_count_away,over05_percentage,over15_percentage,over25_percentage,over35_percentage,over45_percentage,over55_percentage,over05_percentage_home,over15_percentage_home,over25_percentage_home,over35_percentage_home,over45_percentage_home,over55_percentage_home,over05_percentage_away,over15_percentage_away,over25_percentage_away,over35_percentage_away,over45_percentage_away,over55_percentage_away,under05_percentage,under15_percentage,under25_percentage,under35_percentage,under45_percentage,under55_percentage,under05_percentage_home,under15_percentage_home,under25_percentage_home,under35_percentage_home,under45_percentage_home,under55_percentage_home,under05_percentage_away,under15_percentage_away,under25_percentage_away,under35_percentage_away,under45_percentage_away,under55_percentage_away,over05_count_half_time,over15_count_half_time,over25_count_half_time,over05_count_half_time_home,over15_count_half_time_home,over25_count_half_time_home,over05_count_half_time_away,over15_count_half_time_away,over25_count_half_time_away,over05_half_time_percentage,over15_half_time_percentage,over25_half_time_percentage,over05_half_time_percentage_home,over15_half_time_percentage_home,over25_half_time_percentage_home,over05_half_time_percentage_away,over15_half_time_percentage_away,over25_half_time_percentage_away,win_percentage,win_percentage_home,win_percentage_away,home_advantage_percentage,clean_sheet_percentage,clean_sheet_percentage_home,clean_sheet_percentage_away,btts_percentage,btts_percentage_home,btts_percentage_away,fts_percentage,fts_percentage_home,fts_percentage_away,first_team_to_score_percentage,first_team_to_score_percentage_home,first_team_to_score_percentage_away,clean_sheet_half_time,clean_sheet_half_time_home,clean_sheet_half_time_away,clean_sheet_half_time_percentage,clean_sheet_half_time_percentage_home,clean_sheet_half_time_percentage_away,fts_half_time,fts_half_time_home,fts_half_time_away,fts_half_time_percentage,fts_half_time_percentage_home,fts_half_time_percentage_away,btts_half_time,btts_half_time_home,btts_half_time_away,btts_half_time_percentage,btts_half_time_percentage_home,btts_half_time_percentage_away,leading_at_half_time_percentage,leading_at_half_time_percentage_home,leading_at_half_time_percentage_away,draw_at_half_time_percentage,draw_at_half_time_percentage_home,draw_at_half_time_percentage_away,losing_at_half_time_percentage,losing_at_half_time_percentage_home,losing_at_half_time_percentage_away,corners_per_match,corners_per_match_home,corners_per_match_away,cards_per_match,cards_per_match_home,cards_per_match_away,over65_corners_percentage,over75_corners_percentage,over85_corners_percentage,over95_corners_percentage,over105_corners_percentage,over115_corners_percentage,over125_corners_percentage,over135_corners_percentage,xg_for_avg_overall,xg_for_avg_home,xg_for_avg_away,xg_against_avg_overall,xg_against_avg_home,xg_against_avg_away,prediction_risk,goals_scored_min_0_to_10,goals_scored_min_11_to_20,goals_scored_min_21_to_30,goals_scored_min_31_to_40,goals_scored_min_41_to_50,goals_scored_min_51_to_60,goals_scored_min_61_to_70,goals_scored_min_71_to_80,goals_scored_min_81_to_90,goals_conceded_min_0_to_10,goals_conceded_min_11_to_20,goals_conceded_min_21_to_30,goals_conceded_min_31_to_40,goals_conceded_min_41_to_50,goals_conceded_min_51_to_60,goals_conceded_min_61_to_70,goals_conceded_min_71_to_80,goals_conceded_min_81_to_90,draw_percentage_overall,draw_percentage_home,draw_percentage_away,loss_percentage_ovearll,loss_percentage_home,loss_percentage_away,over145_corners_percentage
Arsenal FC,Ars,2023/2024,England,7,4,3,0,5,2,3,2,2,0,0,0,0,2.43,2,3,2,7,1,2,15,6,9,21,15,6,9,6,6,0,3,6,42,40,45,105,60,0,3,0,3,4,4,0,0,0,0,5,2,3,64,39,25,12,7,5,62,63,62,80,49,31,51,33,18,29,16,13,68,38,30,6,4,2,3,3,0,3,1,2,2,1,1,4,2,2,1,1,0,1.43,1.25,1.67,3,3.75,2,2.14,2.25,2,0.86,1.5,0,1.29,1.75,0.67,0.86,1,0.67,0.43,0.75,0,7,5,5,4,0,0,4,4,4,3,0,0,3,1,1,1,0,0,0,2,2,3,7,7,0,0,0,1,4,4,0,2,2,2,3,3,100,71,71,57,0,0,100,100,100,75,0,0,100,33,33,33,0,0,0,29,29,43,100,100,0,0,0,25,100,100,0,67,67,67,100,100,5,4,0,4,3,0,1,1,0,71,57,0,100,75,0,33,33,0,71,50,100,-35,43,0,100,57,100,0,0,0,0,71,50,100,4,1,3,57,25,100,3,1,2,43,25,67,2,2,0,29,50,0,29,25,33,57,50,67,14,25,0,9.14,9.75,8.33,1.71,1.75,1.67,100,100,100,86,86,56,28,28,1.81,2.01,1.57,0.9,0.93,0.87,71,0,1,3,1,1,3,2,1,3,1,0,1,0,1,1,0,0,2,29,50,0,0,0,0,28
Tottenham Hotspur FC,Tot,2023/2024,England,7,3,4,0,5,3,2,2,0,2,0,0,0,2.43,3,2,3,6,3,3,17,8,9,25,8,17,6,11,2,6,4,5,37,45,33,79,134,60,2,1,1,5,2,3,0,0,0,4,2,2,47,31,16,26,12,14,61,64,59,102,50,52,61,29,32,41,21,20,84,33,51,7,1,6,5,1,4,2,0,2,2,0,2,5,3,2,0,0,0,1.57,1,2,3.57,2.67,4.25,2.43,2,2.75,1.14,0.67,1.5,1.71,0.67,2.5,1,0.33,1.5,0.71,0.33,1,7,7,5,3,1,1,3,3,2,0,0,0,4,4,3,3,1,1,0,0,2,4,6,6,0,0,1,3,3,3,0,0,1,1,3,3,100,100,71,43,14,14,100,100,67,0,0,0,100,100,75,75,25,25,0,0,29,57,86,86,0,0,33,100,100,100,0,0,25,25,75,75,5,4,2,1,1,0,4,3,2,71,57,29,33,33,0,100,75,50,71,100,50,12,29,33,25,71,67,75,0,0,0,57,67,50,3,2,1,43,67,25,2,2,0,29,67,0,4,1,3,57,33,75,29,0,50,71,100,50,0,0,0,6.71,10.33,4,3.71,4,3.5,100,100,86,71,71,43,43,43,2.24,2.59,1.98,1.39,1.35,1.42,71,0,3,0,1,4,2,3,0,4,1,0,2,1,1,1,0,1,1,29,0,50,0,0,0,43
Manchester City FC,Manc,2023/2024,England,7,3,4,1,6,3,3,0,0,0,1,0,1,2.57,3,2.25,1,2,2,1,17,5,12,22,9,13,8,9,1,4,7,5,37,34,40,127,273,90,3,2,1,4,1,3,0,0,0,5,3,2,47,13,34,14,8,6,67,62,71,92,21,71,60,16,44,32,5,27,66,33,33,7,5,2,3,1,2,4,4,0,4,3,1,1,0,1,2,0,2,1.86,3,1,3.14,3,3.25,2.43,2.67,2.25,0.71,0.33,1,1.43,2,1,1,1.67,0.5,0.43,0.33,0.5,7,6,5,2,1,1,3,2,1,1,1,1,4,4,4,1,0,0,0,1,2,5,6,6,0,1,2,2,2,2,0,0,0,3,4,4,100,86,71,29,14,14,100,67,33,33,33,33,100,100,100,25,0,0,0,14,29,71,86,86,0,33,67,67,67,67,0,0,0,75,100,100,6,3,1,3,2,1,3,1,0,86,43,14,100,67,33,75,25,0,86,100,75,32,43,67,25,57,33,75,0,0,0,71,100,50,4,2,2,57,67,50,3,0,3,43,0,75,1,1,0,14,33,0,57,100,25,14,0,25,29,0,50,6.71,4.33,8.5,2,2.67,1.5,71,71,71,56,56,43,28,14,2.09,1.27,2.71,0.77,0.89,0.68,71,2,1,0,3,2,2,2,2,3,0,1,0,2,0,0,1,0,1,0,0,0,14,0,25,14
Crystal Palace FC,Cryst,2023/2024,England,7,3,4,0,3,1,2,2,1,1,2,1,1,1.57,1.33,1.75,9,12,6,9,7,7,0,14,6,8,3,4,3,4,0,0,90,90,90,90,90,90,3,1,2,3,1,2,2,2,0,4,1,3,25,8,17,11,6,5,43,47,41,70,30,40,41,19,22,29,11,18,77,34,43,1,0,1,1,0,1,0,0,0,1,0,1,5,3,2,1,0,1,1.14,1,1.25,2,2,2,1,1,1,1,1,1,0.29,0,0.5,0.14,0,0.25,0.14,0,0.25,6,3,2,2,1,0,2,1,1,1,1,0,4,2,1,1,0,0,1,4,5,5,6,7,1,2,2,2,2,3,0,2,3,3,4,4,86,43,29,29,14,0,67,33,33,33,33,0,100,50,25,25,0,0,14,57,71,71,86,100,33,67,67,67,67,100,0,50,75,75,100,100,2,0,0,0,0,0,2,0,0,29,0,0,0,0,0,50,0,0,43,33,50,0,43,33,50,43,33,50,29,67,0,57,33,75,6,3,3,86,100,75,6,3,3,86,100,75,0,0,0,0,0,0,14,0,25,71,100,50,14,0,25,3.57,2.67,4.25,1.57,2,1.25,56,56,56,43,28,28,28,28,1.38,1.47,1.31,1.35,1.39,1.32,43,0,0,1,0,2,1,0,2,1,0,1,0,0,0,1,1,0,4,29,33,25,29,33,25,0
Everton FC,Ever,2023/2024,England,7,4,3,0,1,0,1,1,0,1,5,4,1,0.57,0,1.33,16,19,14,16,6,12,-6,18,6,12,1,5,5,7,-4,-2,105,360,54,53,72,39,0,0,0,3,1,2,4,3,1,2,0,2,37,21,16,12,4,8,46,46,46,89,55,34,43,26,17,46,29,17,76,39,37,3,1,2,7,2,5,-4,-1,-3,0,0,0,4,3,1,3,1,2,0.57,0.75,0.33,2.57,1.5,4,0.86,0.25,1.67,1.71,1.25,2.33,1.43,0.75,2.33,0.43,0.25,0.67,1,0.5,1.67,7,4,4,3,0,0,4,1,1,0,0,0,3,3,3,3,0,0,0,3,3,4,7,7,0,3,3,4,4,4,0,0,0,0,3,3,100,57,57,43,0,0,100,25,25,0,0,0,100,100,100,100,0,0,0,43,43,57,100,100,0,75,75,100,100,100,0,0,0,0,100,100,4,4,2,1,1,1,3,3,1,57,57,29,25,25,25,100,100,33,14,0,33,-22,0,0,0,43,25,67,57,75,33,29,0,67,3,3,0,43,75,0,4,3,1,57,75,33,3,1,2,43,25,67,0,0,0,57,75,33,43,25,67,5.29,5.25,5.33,1.71,1,2.67,86,71,71,56,43,43,28,14,1.63,1.73,1.5,1.26,1.11,1.47,71,1,1,0,0,1,1,1,1,0,0,1,3,2,1,1,1,2,1,14,0,33,71,100,33,0
Burnley FC,Burn,2023/2024,England,7,4,3,0,1,0,1,1,0,1,5,4,1,0.57,0,1.33,18,20,12,18,6,16,-10,22,15,7,3,3,12,4,-9,-1,105,120,90,39,30,68,0,0,0,4,2,2,3,2,1,3,1,2,39,26,13,19,9,10,50,50,50,61,35,26,28,15,13,33,20,13,75,44,31,3,1,2,8,7,1,-5,-6,1,2,0,2,0,0,0,5,4,1,0.86,0,2,3.14,3.75,2.33,0.86,0.75,1,2.29,3,1.33,1.57,2,1,0.43,0.25,0.67,1.14,1.75,0.33,7,6,4,2,1,1,4,3,3,2,1,1,3,3,1,0,0,0,0,1,3,5,6,6,0,1,1,2,3,3,0,0,2,3,3,3,100,86,57,29,14,14,100,75,75,50,25,25,100,100,33,0,0,0,0,14,43,71,86,86,0,25,25,50,75,75,0,0,67,100,100,100,7,3,1,4,3,1,3,0,0,100,43,14,100,75,25,100,0,0,14,0,33,-22,0,0,0,57,50,67,43,50,33,43,25,67,2,0,2,29,0,67,4,3,1,57,75,33,1,1,0,14,25,0,29,0,67,0,0,0,71,100,33,5.57,6.5,4.33,2.71,2.25,3.33,100,100,86,71,56,28,28,14,1.04,1.02,1.08,1.66,1.63,1.69,71,1,0,0,0,3,0,0,0,2,2,3,0,1,2,1,4,2,1,14,0,33,71,100,33,0
AFC Bournemouth,AFC,2023/2024,England,7,4,3,0,0,0,0,3,2,1,4,2,2,0.43,0.5,0.33,19,16,19,19,5,15,-10,20,8,12,1,4,7,8,-6,-4,127,360,68,42,51,34,1,1,0,4,1,3,3,3,0,2,0,2,31,23,8,11,3,8,42,46,38,69,35,34,35,17,18,34,18,16,92,49,43,3,0,3,7,3,4,-4,-3,-1,0,0,0,4,2,2,3,2,1,0.57,0.5,0.67,2.86,2,4,0.71,0.25,1.33,2.14,1.75,2.67,1.43,0.75,2.33,0.43,0,1,1,0.75,1.33,6,6,4,4,0,0,3,3,1,1,0,0,3,3,3,3,0,0,1,1,3,3,7,7,1,1,3,3,4,4,0,0,0,0,3,3,86,86,57,57,0,0,75,75,25,25,0,0,100,100,100,100,0,0,14,14,43,43,100,100,25,25,75,75,100,100,0,0,0,0,100,100,5,4,1,2,1,0,3,3,1,71,57,14,50,25,0,100,100,33,0,0,0,-24,14,25,0,57,25,100,43,75,0,29,0,67,2,2,0,29,50,0,4,4,0,57,100,0,3,0,3,43,0,100,0,0,0,57,50,67,43,50,33,4.43,5.75,2.67,1.57,0.75,2.67,100,86,43,43,43,43,14,14,1.19,1.13,1.26,1.76,1.67,1.89,71,1,0,2,0,0,0,0,1,1,1,2,1,1,3,2,2,1,2,43,50,33,57,50,67,0
Manchester United FC,Manch,2023/2024,England,7,4,3,0,3,2,1,0,0,0,4,2,2,1.29,1.5,1,10,9,16,10,7,11,-4,18,11,7,5,2,6,5,-1,-3,90,72,134,57,60,54,2,1,1,3,2,1,2,1,1,3,1,2,51,37,14,19,11,8,52,60,43,71,45,26,40,24,16,31,21,10,73,46,27,3,1,2,5,4,1,-2,-3,1,1,0,1,3,1,2,3,3,0,0.86,0.25,1.67,2.57,2.75,2.33,1,1.25,0.67,1.57,1.5,1.67,1.14,1.25,1,0.43,0.25,0.67,0.71,1,0.33,7,4,3,3,1,0,4,2,2,2,1,0,3,2,1,1,0,0,0,3,4,4,6,7,0,2,2,2,3,4,0,1,2,2,3,3,100,57,43,43,14,0,100,50,50,50,25,0,100,67,33,33,0,0,0,43,57,57,86,100,0,50,50,50,75,100,0,33,67,67,100,100,5,2,1,3,1,1,2,1,0,71,29,14,75,25,25,67,33,0,43,50,33,15,29,25,33,43,50,33,29,25,33,43,25,67,3,1,2,43,25,67,4,3,1,57,75,33,2,1,1,29,25,33,14,0,33,43,25,67,43,75,0,7.29,9.25,4.67,2.71,2.75,2.67,100,100,100,86,86,71,71,71,1.48,1.67,1.22,1.48,1.35,1.66,43,0,1,1,0,1,1,0,3,0,2,1,2,0,1,1,0,1,3,0,0,0,57,50,67,28
Liverpool FC,Liver,2023/2024,England,7,3,4,0,5,3,2,1,0,1,1,0,1,2.29,3,1.75,4,3,4,4,16,7,9,23,11,12,9,7,2,5,7,2,39,30,51,90,134,72,1,1,0,6,2,4,0,0,0,3,2,1,46,24,22,21,3,18,53,64,44,91,50,41,43,24,19,48,26,22,79,34,45,7,5,2,6,2,4,1,3,-2,2,2,0,3,1,2,2,0,2,1.29,2.33,0.5,3.29,3.67,3,2.29,3,1.75,1,0.67,1.25,1.86,2.33,1.5,1,1.67,0.5,0.86,0.67,1,7,7,6,3,0,0,3,3,3,2,0,0,4,4,3,1,0,0,0,0,1,4,7,7,0,0,0,1,3,3,0,0,1,3,4,4,100,100,86,43,0,0,100,100,100,67,0,0,100,100,75,25,0,0,0,0,14,57,100,100,0,0,0,33,100,100,0,0,25,75,100,100,7,5,1,3,3,1,4,2,0,100,71,14,100,100,33,100,50,0,71,100,50,32,14,33,0,86,67,100,0,0,0,43,67,25,1,1,0,14,33,0,2,0,2,29,0,50,4,2,2,57,67,50,29,67,0,43,33,50,29,0,50,6.57,8,5.5,3,1,4.5,100,100,71,71,56,43,28,28,1.69,2.12,1.37,1.59,1.25,1.85,86,1,2,2,1,1,3,1,0,5,2,0,1,2,1,0,0,0,1,14,0,25,14,0,25,14
Chelsea FC,Chel,2023/2024,England,7,4,3,0,2,1,1,2,1,1,3,2,1,1.14,1,1.33,11,11,11,11,7,6,1,13,7,6,4,3,3,3,1,0,90,90,90,105,120,90,3,1,2,2,1,1,3,2,1,2,1,1,39,22,17,24,12,12,64,65,61,78,40,38,39,22,17,39,18,21,81,41,40,5,2,3,2,1,1,3,1,2,2,1,1,5,3,2,0,0,0,1.57,1.5,1.67,1.86,1.75,2,1,1,1,0.86,0.75,1,1,0.75,1.33,0.71,0.5,1,0.29,0.25,0.33,6,4,2,1,0,0,4,2,1,0,0,0,2,2,1,1,0,0,1,3,5,6,7,7,0,2,3,4,4,4,1,1,2,2,3,3,86,57,29,14,0,0,100,50,25,0,0,0,67,67,33,33,0,0,14,43,71,86,100,100,0,50,75,100,100,100,33,33,67,67,100,100,4,3,0,2,1,0,2,2,0,57,43,0,50,25,0,67,67,0,29,25,33,7,43,25,67,29,25,33,43,50,33,29,25,33,5,3,2,71,75,67,3,2,1,43,50,33,2,1,1,29,25,33,29,25,33,71,75,67,0,0,0,5.57,5.5,5.67,3.43,3,4,100,86,56,43,28,28,14,14,1.59,1.53,1.66,1.18,1.11,1.29,43,0,3,1,1,0,0,1,1,0,1,1,0,0,1,1,0,1,1,29,25,33,43,50,33,14
