team_name,season,Defence_line,Home_ground_effect,Tempo_home,Tempo,Transition_Defence_Attack,country,matches_played,matches_played_home,matches_played_away,suspended_matches,wins,wins_home,draws,draws_home,losses,losses_home,points_per_game,points_per_game_home,league_position,league_position_home,performance_rank,Attack_goals,Defence_goals_conceded,goal_difference,total_goal_count_home,Attack_goals_home,Defence_goals_conceded_home,minutes_per_Attck_goal_scored,minutes_per_Attack_goal_scored_home,minutes_per_Defence_goal_conceded,minutes_per_Defence_goal_conceded_home,clean_sheets,clean_sheets_home,btts_count,btts_count_home,corners_total,corners_total_home,average_possession,average_possession_home,shots,shots_home,shots_on_target,shots_on_target_home,shots_off_target,shots_off_target_home,fouls,fouls_home,average_total_Attack_goals_per_match,average_total_Attack_goals_per_match_home,Attack_goals_scored_per_match,Attack_goals_scored_per_match_home,Defence_goals_conceded_per_match,Defence_goals_conceded_per_match_home,over25_count,under25_count_away,over25_percentage,under25_percentage,under25_percentage_home,xg_for_avg_overall,xg_for_avg_home,prediction_risk
Arsenal FC,2018/2019,High_Block,Positive,High,High,Medium,England,38,19,19,0,21,14,7,3,10,2,1.84,2.37,5,3,5,73,51,22,58,42,16,47,41,67,107,8,7,26,11,209,125,58,61,377,210,208,116,169,94,412,218,3.26,3.05,1.92,2.21,1.34,0.84,22,5,58,42,58,1.43,1.6,87
Tottenham Hotspur FC,2018/2019,High_Block,Positive,High,Medium,Slow,England,38,19,19,0,23,12,2,2,13,5,1.87,2,4,5,4,67,39,28,50,34,16,51,50,87,107,13,7,19,9,194,102,59,61,433,236,226,124,207,112,376,175,2.79,2.63,1.76,1.79,1.03,0.84,22,7,58,42,47,1.58,1.74,89
Manchester City FC,2018/2019,High_Block,Positive,High,High,Fast,England,38,19,19,0,32,18,2,0,4,1,2.58,2.84,1,1,1,95,23,72,69,57,12,36,30,148,143,20,9,17,10,298,154,68,68,527,307,298,167,229,140,328,162,3.11,3.63,2.5,3,0.61,0.63,23,10,61,39,26,2.18,2.45,92
Leicester City FC,2018/2019,High_Block,Average,High,High,Fast,England,38,19,19,0,15,8,7,3,16,8,1.37,1.42,9,11,9,51,48,3,44,24,20,67,71,71,86,10,6,22,9,210,108,51,54,420,238,222,118,198,120,351,184,2.61,2.32,1.34,1.26,1.26,1.05,19,9,50,50,53,1.56,1.7,68
Crystal Palace FC,2018/2019,Medium_Block,Average,Low,Low,Slow,England,38,19,19,0,14,5,7,5,17,9,1.29,1.05,12,18,12,51,53,-2,42,19,23,67,90,65,74,12,7,19,7,205,130,45,47,392,222,184,94,208,128,386,180,2.74,2.21,1.34,1,1.39,1.21,17,8,45,55,68,1.36,1.51,76
Everton FC,2018/2019,Medium_Block,Positive,Low,Low,Slow,England,38,19,19,0,15,10,9,4,14,5,1.42,1.79,8,7,8,54,46,8,51,30,21,63,57,74,81,14,9,17,8,215,119,52,54,396,213,207,104,189,109,432,218,2.63,2.68,1.42,1.58,1.21,1.11,18,9,47,53,58,1.45,1.55,68
Burnley FC,2018/2019,Medium_Block,Average,High,Low,Slow,England,38,19,19,0,11,7,7,2,20,10,1.05,1.21,15,15,15,45,68,-23,56,24,32,76,71,50,54,8,5,21,11,140,80,41,42,309,177,150,85,159,92,360,185,2.97,2.95,1.18,1.26,1.79,1.68,22,8,58,42,42,0.9,1.01,79
Southampton FC,2018/2019,High_Block,Average,High,Low,Fast,England,38,19,19,0,9,5,12,8,17,6,1.03,1.21,16,14,16,45,65,-20,57,27,30,76,63,53,57,7,3,25,15,194,101,43,43,383,207,200,108,183,99,420,219,2.89,3,1.18,1.42,1.71,1.58,23,9,61,39,32,1.35,1.44,76
AFC Bournemouth,2018/2019,Medium_Block,Average,High,Low,Slow,England,38,19,19,0,13,8,6,5,19,6,1.18,1.53,14,10,14,56,70,-14,55,30,25,61,57,49,68,10,6,17,10,191,96,47,46,375,191,200,100,175,91,340,188,3.32,2.89,1.47,1.58,1.84,1.32,24,6,63,37,42,1.35,1.34,79
Manchester United FC,2018/2019,Medium_Block,Positive,High,High,Fast,England,38,19,19,0,19,10,9,6,10,3,1.74,1.89,6,6,6,65,54,11,58,33,25,53,52,63,68,7,2,26,14,200,116,55,56,434,235,263,145,171,90,433,213,3.13,3.05,1.71,1.74,1.42,1.32,26,6,68,32,32,1.63,1.77,76
